Date,Room Type,Average Room Rate,Occ,Forecasted ARR,Forecasted Occ,Error ARR,Error Occ,Is_Holiday,Is_Weekend,Is_SchoolHoliday,Is_Event,holiday_block_length,Is_Bridge
2024-01-01,Deluxe,983209.2712053572,0.6333333333333333,983209.2712053572,0.6333333333333333,0.0,0.0,True,False,False,False,0,False
2024-01-01,Executive Suite,2136354.8076923075,0.6333333333333333,2136354.8076923075,0.6333333333333333,0.0,0.0,True,False,False,False,0,False
2024-01-02,Deluxe,781803.5428571429,0.6222222222222222,781803.5428571429,0.6222222222222222,0.0,0.0,False,False,False,False,0,False
2024-01-02,Executive Suite,2080295.673076923,0.6222222222222222,2080295.673076923,0.6222222222222222,0.0,0.0,False,False,False,False,0,False
2024-01-03,Deluxe,729046.3958837773,0.6781609195402298,729046.3958837773,0.6781609195402298,0.0,0.0,False,False,False,False,0,False
2024-01-03,Executive Suite,1482137.0192307692,0.6781609195402298,1482137.0192307692,0.6781609195402298,0.0,0.0,False,False,False,False,0,False
2024-01-04,Deluxe,672905.7392857143,0.651685393258427,672905.7392857143,0.651685393258427,0.0,0.0,False,False,False,False,0,False
2024-01-04,Executive Suite,1482137.0192307692,0.651685393258427,1482137.0192307692,0.651685393258427,0.0,0.0,False,False,False,False,0,False
2024-01-05,Deluxe,722285.9754464285,0.7032967032967034,722285.9754464285,0.7032967032967034,0.0,0.0,False,False,False,False,0,False
2024-01-05,Executive Suite,1482137.0192307692,0.7032967032967034,1482137.0192307692,0.7032967032967034,0.0,0.0,False,False,False,False,0,False
2024-01-06,Deluxe,719889.3732718894,0.7176470588235294,719889.3732718894,0.7176470588235294,0.0,0.0,False,True,False,False,0,False
2024-01-06,Executive Suite,1096774.0384615385,0.7176470588235294,1096774.0384615385,0.7176470588235294,0.0,0.0,False,True,False,False,0,False
2024-01-07,Deluxe,627701.0342261904,0.5517241379310345,627701.0342261904,0.5517241379310345,0.0,0.0,False,True,False,False,0,False
2024-01-07,Executive Suite,1096774.0384615385,0.5517241379310345,1096774.0384615385,0.5517241379310345,0.0,0.0,False,True,False,False,0,False
2024-01-08,Deluxe,628552.3763736264,0.6046511627906976,628552.3763736264,0.6046511627906976,0.0,0.0,False,False,False,False,0,False
2024-01-08,Executive Suite,1473387.0192307692,0.6046511627906976,1473387.0192307692,0.6046511627906976,0.0,0.0,False,False,False,False,0,False
2024-01-09,Deluxe,627981.9541778975,0.6091954022988506,627981.9541778975,0.6091954022988506,0.0,0.0,False,False,False,False,0,False
2024-01-09,Executive Suite,1598387.0192307692,0.6091954022988506,1598387.0192307692,0.6091954022988506,0.0,0.0,False,False,False,False,0,False
2024-01-10,Deluxe,614048.8363354037,0.5301204819277109,614048.8363354037,0.5301204819277109,0.0,0.0,False,False,False,False,0,False
2024-01-10,Executive Suite,1096774.0384615385,0.5301204819277109,1096774.0384615385,0.5301204819277109,0.0,0.0,False,False,False,False,0,False
2024-01-11,Deluxe,673868.330583501,0.8271604938271605,673868.330583501,0.8271604938271605,0.0,0.0,False,False,False,False,0,False
2024-01-11,Executive Suite,1278557.0192307692,0.8271604938271605,1278557.0192307692,0.8271604938271605,0.0,0.0,False,False,False,False,0,False
2024-01-12,Deluxe,690705.3793650793,0.7848101265822784,690705.3793650793,0.7848101265822784,0.0,0.0,False,False,False,False,0,False
