Date,Room Type,Arrangement,Average Room Rate,Occupancy Rate,Rooms Sold,Rooms Excluded,Rooms Maintenance,Room Inventory,Available Inventory,Is_Holiday,Is_Weekend,Is_Event,Is_Fasting,Is_SchoolHoliday
2024-01-01,Deluxe,,500000.0,0.6333333333333333,57,3,1,94,90,True,False,False,False,False
2024-01-01,Deluxe,RB,1035475.1290726818,0.6333333333333333,57,3,1,94,90,True,False,False,False,False
2024-01-01,Deluxe,RO,567218.5,0.6333333333333333,57,3,1,94,90,True,False,False,False,False
2024-01-01,Executive Suite,RB,2136354.8076923075,0.6333333333333333,57,3,1,94,90,True,False,False,False,False
2024-01-02,Deluxe,RB,833592.3222591362,0.6222222222222222,56,3,1,94,90,False,False,False,False,False
2024-01-02,Deluxe,RO,596227.0833333334,0.6222222222222222,56,3,1,94,90,False,False,False,False,False
2024-01-02,Executive Suite,RB,2080295.673076923,0.6222222222222222,56,3,1,94,90,False,False,False,False,False
2024-01-03,Deluxe,RB,778369.899068323,0.6781609195402298,59,3,4,94,87,False,False,False,False,False
2024-01-03,Deluxe,RO,554517.0769230769,0.6781609195402298,59,3,4,94,87,False,False,False,False,False
2024-01-03,Executive Suite,RB,1482137.0192307692,0.6781609195402298,59,3,4,94,87,False,False,False,False,False
2024-01-04,Deluxe,RB,697242.8610038611,0.651685393258427,58,2,3,94,89,False,False,False,False,False
2024-01-04,Deluxe,RO,633754.7173913043,0.651685393258427,58,2,3,94,89,False,False,False,False,False
2024-01-04,Executive Suite,RB,1482137.0192307692,0.651685393258427,58,2,3,94,89,False,False,False,False,False
2024-01-05,Deluxe,RB,741773.9172077923,0.7032967032967034,64,2,1,94,91,False,False,False,False,False
2024-01-05,Deluxe,RO,679412.5035714286,0.7032967032967034,64,2,1,94,91,False,False,False,False,False
2024-01-05,Executive Suite,RB,1482137.0192307692,0.7032967032967034,64,2,1,94,91,False,False,False,False,False
2024-01-06,Deluxe,RB,732795.1993355482,0.7176470588235294,61,5,4,94,85,False,True,False,False,False
2024-01-06,Deluxe,RO,690681.4511278195,0.7176470588235294,61,5,4,94,85,False,True,False,False,False
2024-01-06,Executive Suite,RB,1096774.0384615385,0.7176470588235294,61,5,4,94,85,False,True,False,False,False
2024-01-07,Deluxe,RB,663621.41005291,0.5517241379310345,48,3,4,94,87,False,True,False,False,False
2024-01-07,Deluxe,RO,581517.693877551,0.5517241379310345,48,3,4,94,87,False,True,False,False,False
2024-01-07,Executive Suite,RB,1096774.0384615385,0.5517241379310345,48,3,4,94,87,False,True,False,False,False
2024-01-08,Deluxe,RB,643536.5,0.6046511627906976,52,2,6,94,86,False,False,False,False,False
2024-01-08,Deluxe,RO,594838.0982142857,0.6046511627906976,52,2,6,94,86,False,False,False,False,False
2024-01-08,Executive Suite,RB,1473387.0192307692,0.6046511627906976,52,2,6,94,86,False,False,False,False,False
2024-01-09,Deluxe,RB,643554.45,0.6091954022988506,53,2,5,94,87,False,False,False,False,False
2024-01-09,Deluxe,RO,580066.5824175824,0.6091954022988506,53,2,5,94,87,False,False,False,False,False
2024-01-09,Executive Suite,RB,1598387.0192307692,0.6091954022988506,53,2,5,94,87,False,False,False,False,False
2024-01-10,Deluxe,RB,646409.5888888888,0.5301204819277109,44,4,7,94,83,False,False,False,False,False
2024-01-10,Deluxe,RO,568062.5037593985,0.5301204819277109,44,4,7,94,83,False,False,False,False,False
2024-01-10,Executive Suite,RB,1096774.0384615385,0.5301204819277109,44,4,7,94,83,False,False,False,False,False
2024-01-11,Deluxe,RB,698483.6189189189,0.8271604938271605,67,4,9,94,81,False,False,False,False,False
2024-01-11,Deluxe,RO,647081.1050420168,0.8271604938271605,67,4,9,94,81,False,False,False,False,False
2024-01-11,Executive Suite,RB,1278557.0192307692,0.8271604938271605,67,4,9,94,81,False,False,False,False,False
2024-01-12,Deluxe,RB,707864.0527777778,0.7848101265822784,62,4,11,94,79,False,False,False,False,False
2024-01-12,Deluxe,RO,667827.1481481482,0.7848101265822784,62,4,11,94,79,False,False,False,False,False
2024-01-12,Executive Suite,RB,1486091.346153846,0.7848101265822784,62,4,11,94,79,False,False,False,False,False
2024-01-13,Deluxe,RB,760718.6089700997,0.8452380952380952,71,3,7,94,84,False,True,False,False,False
2024-01-13,Deluxe,RO,648129.9444444445,0.8452380952380952,71,3,7,94,84,False,True,False,False,False
2024-01-13,Executive Suite,RB,1715154.8076923075,0.8452380952380952,71,3,7,94,84,False,True,False,False,False
2024-01-14,Deluxe,RB,688525.5092857142,0.5227272727272727,46,4,2,94,88,False,True,False,False,False
2024-01-14,Deluxe,RO,573521.58,0.5227272727272727,46,4,2,94,88,False,True,False,False,False
2024-01-14,Executive Suite,RB,1096774.0384615385,0.5227272727272727,46,4,2,94,88,False,True,False,False,False
2024-01-14,Executive Suite,RBT,2125000.0,0.5227272727272727,46,4,2,94,88,False,True,False,False,False
2024-01-15,Deluxe,RB,650762.3124223603,0.4666666666666667,42,4,0,94,90,False,False,False,False,False
2024-01-15,Deluxe,RO,570670.8421052631,0.4666666666666667,42,4,0,94,90,False,False,False,False,False
2024-01-15,Executive Suite,RB,1096774.0384615385,0.4666666666666667,42,4,0,94,90,False,False,False,False,False
2024-01-15,Executive Suite,RBT,2125000.0,0.4666666666666667,42,4,0,94,90,False,False,False,False,False
2024-01-16,Deluxe,RB,650606.0809523809,0.6666666666666666,52,4,12,94,78,False,False,False,False,False
2024-01-16,Deluxe,RO,564909.9347826086,0.6666666666666666,52,4,12,94,78,False,False,False,False,False
2024-01-16,Executive Suite,RB,1448387.0192307692,0.6666666666666666,52,4,12,94,78,False,False,False,False,False
2024-01-16,Suite,RB,2700000.0,0.6666666666666666,52,4,12,94,78,False,False,False,False,False
