Date,Is_NationalHoliday,Is_Weekend,Is_Event,Is_SchoolHoliday,Is_Fasting,Is_Bridge,Is_Holiday,Holiday_Duration,Days_of_Holiday,Distance_to_Holiday,Day_of_Week,Day_of_Month,Month,Year,Occupancy Rate,Room Type,Arrangement,ARR_pred
2025-09-02,False,False,False,False,False,False,False,0,0,3,1,2,9,2025,0.3765628304461426,Deluxe,RB,764534.2500623264
2025-09-02,False,False,False,False,False,False,False,0,0,3,1,2,9,2025,0.3765628304461426,Deluxe,RO,625429.448128248
2025-09-02,False,False,False,False,False,False,False,0,0,3,1,2,9,2025,0.3765628304461426,Executive Suite,RB,1389624.3213075968
2025-09-02,False,False,False,False,False,False,False,0,0,3,1,2,9,2025,0.3765628304461426,Suite,RB,1160605.9777230965
2025-09-02,False,False,False,False,False,False,False,0,0,3,1,2,9,2025,0.3765628304461426,Family Suite,RB,4483187.142219246
2025-09-02,False,False,False,False,False,False,False,0,0,3,1,2,9,2025,0.3765628304461426,Executive Suite,RO,1702318.758914268
2025-09-02,False,False,False,False,False,False,False,0,0,3,1,2,9,2025,0.3765628304461426,Family Suite,RO,3337987.0636904757
2025-09-03,False,False,False,False,False,False,False,0,0,2,2,3,9,2025,0.5111512972797577,Deluxe,RB,742563.129419357
2025-09-03,False,False,False,False,False,False,False,0,0,2,2,3,9,2025,0.5111512972797577,Deluxe,RO,661248.4677030506
2025-09-03,False,False,False,False,False,False,False,0,0,2,2,3,9,2025,0.5111512972797577,Executive Suite,RB,1396934.7006243123
2025-09-03,False,False,False,False,False,False,False,0,0,2,2,3,9,2025,0.5111512972797577,Suite,RB,1181155.7031936212
2025-09-03,False,False,False,False,False,False,False,0,0,2,2,3,9,2025,0.5111512972797577,Family Suite,RB,4415746.313632936
2025-09-03,False,False,False,False,False,False,False,0,0,2,2,3,9,2025,0.5111512972797577,Executive Suite,RO,1493676.8241911158
2025-09-03,False,False,False,False,False,False,False,0,0,2,2,3,9,2025,0.5111512972797577,Family Suite,RO,3289867.105580357
2025-09-04,False,False,False,False,False,False,False,0,0,1,3,4,9,2025,0.5038160630237427,Deluxe,RB,757808.3955532545
2025-09-04,False,False,False,False,False,False,False,0,0,1,3,4,9,2025,0.5038160630237427,Deluxe,RO,669366.1365511462
2025-09-04,False,False,False,False,False,False,False,0,0,1,3,4,9,2025,0.5038160630237427,Executive Suite,RB,1489649.1938532125
2025-09-04,False,False,False,False,False,False,False,0,0,1,3,4,9,2025,0.5038160630237427,Suite,RB,1207791.5985925882
2025-09-04,False,False,False,False,False,False,False,0,0,1,3,4,9,2025,0.5038160630237427,Family Suite,RB,4442191.493947918
2025-09-04,False,False,False,False,False,False,False,0,0,1,3,4,9,2025,0.5038160630237427,Executive Suite,RO,1560357.2460414174
2025-09-04,False,False,False,False,False,False,False,0,0,1,3,4,9,2025,0.5038160630237427,Family Suite,RO,3289128.161294643
2025-09-05,True,False,False,False,False,False,True,3,1,0,4,5,9,2025,0.6162922370242044,Deluxe,RB,824037.080585305
2025-09-05,True,False,False,False,False,False,True,3,1,0,4,5,9,2025,0.6162922370242044,Deluxe,RO,718169.2829226977
